Name,Short Name,Units,id
Sea ice area fraction,ci,(0 - 1),31
Geopotential,z,m2 s-2,129
Temperature,t,K,130
U component of wind,u,m s-1,131
V component of wind,v,m s-1,132
Specific humidity,q,kg kg-1,133
Surface pressure,sp,Pa,134
Vertical velocity,w,Pa s-1,135
Total column vertically-integrated water vapour,tcwv,kg m-2,137
Vorticity (relative),vo,s-1,138
Soil temperature level 1,stl1,K,139
Soil wetness level 1,swl1,m of water equivalent,140
Snow depth,sd,m of water equivalent,141
Large-scale precipitation,lsp,m,142
Convective precipitation,cp,m,143
Snowfall,sf,m of water equivalent,144
Boundary layer dissipation,bld,J m-2,145
Surface sensible heat flux,sshf,J m-2,146
Surface latent heat flux,slhf,J m-2,147
Mean sea level pressure,msl,Pa,151
Divergence,d,s-1,155
Geopotential height,gh,gpm,156
Relative humidity,r,%,157
Tendency of surface pressure,tsp,Pa s-1,158
Total cloud cover,tcc,(0 - 1),164
Surface short-wave (solar) radiation downwards,ssrd,J m-2,169
Land-sea mask,lsm,(0 - 1),172
Surface roughness (climatological),sr,m,173
Albedo (climatological),al,(0 - 1),174
Surface net short-wave (solar) radiation,ssr,J m-2,176
Surface net long-wave (thermal) radiation,str,J m-2,177
Top net short-wave (solar) radiation,tsr,J m-2,178
Top net long-wave (thermal) radiation,ttr,J m-2,179
Eastward turbulent surface stress,ewss,N m-2 s,180
Northward turbulent surface stress,nsss,N m-2 s,181
Evaporation,e,m of water equivalent,182
Convective cloud cover,ccc,(0 - 1),185
Ozone mass mixing ratio,o3,kg kg-1,203
Total column ozone,tco3,kg m-2,206
"Surface net short-wave (solar) radiation, clear sky",ssrc,J m-2,210
"Surface net long-wave (thermal) radiation, clear sky",strc,J m-2,211
Temperature of snow layer,tsn,K,238
Convective precipitation (water),acpcp,kg m-2,3063
Snow depth,sde,m,3066
Convective cloud cover,ccc,%,3072
Latent heat flux,lhf,W m-2,3121
Sensible heat flux,shf,W m-2,3122
Boundary layer dissipation,bld,W m-2,3123
Sea water potential temperature,thetao,deg C,151129
Sea water practical salinity,so,psu,151130
Eastward sea water velocity,ocu,m s-1,151131
Northward sea water velocity,ocv,m s-1,151132
Upward sea water velocity,wo,m s-1,151133
Sea water sigma theta,sigmat,kg m-3,151138
Sea surface height,zos,m,151145
Ocean barotropic stream function,stfbarot,m3 s-1,151147
Surface downward eastward stress,taueo,N m-2,151153
Surface downward northward stress,tauno,N m-2,151154
Depth of 20C isotherm,t20d,m,151163
Sea surface temperature in degC,tos,deg C,151189
Depth of 14C isotherm,t14d,deg C,151195
Depth of 17C isotherm,t17d,deg C,151196
Depth of 26C isotherm,t26d,deg C,151197
Depth of 28C isotherm,t28d,deg C,151198
